Feature,Importance
char_per_tok,0.5543435598250781
dep_dist_root,0.12119884210313249
verbs_form_dist_Fin,0.10989588037875804
verbs_form_dist_Ger,0.07294363398641851
dep_dist_nmod:poss,0.05180405144864432
dep_dist_det,0.028915057006676154
tokens_per_sent,0.027934495186940723
ttr_form_chunks_200,0.019388523373700686
dep_dist_ccomp,0.006528856788633988
upos_dist_DET,0.004182125882347719
ttr_form_chunks_100,0.0016634764881930943
upos_dist_PROPN,0.0012014975314760643
dep_dist_expl,0.0
dep_dist_discourse,0.0
obj_post,0.0
verbs_num_pers_dist_+3,0.0
verbs_tense_dist_Past,0.0
dep_dist_compound,0.0
avg_links_len,0.0
upos_dist_PRON,0.0
verbs_form_dist_Part,0.0
upos_dist_SYM,0.0
dep_dist_xcomp,0.0
verbs_num_pers_dist_+1,0.0
dep_dist_goeswith,0.0
verb_edges_dist_6,0.0
dep_dist_appos,0.0
dep_dist_mark,0.0
dep_dist_csubj:outer,0.0
prep_dist_3,0.0
upos_dist_ADV,0.0
verb_edges_dist_2,0.0
verb_edges_dist_0,0.0
upos_dist_ADJ,0.0
subordinate_dist_1,0.0
prep_dist_4,0.0
dep_dist_orphan,0.0
upos_dist_INTJ,0.0
dep_dist_csubj:pass,0.0
dep_dist_nmod:npmod,0.0
verb_edges_dist_5,0.0
aux_mood_dist_Imp,0.0
aux_num_pers_dist_+3,0.0
subordinate_dist_2,0.0
upos_dist_X,0.0
dep_dist_fixed,0.0
aux_form_dist_Inf,0.0
dep_dist_flat,0.0
subj_pre,0.0
dep_dist_flat:foreign,0.0
upos_dist_PART,0.0
upos_dist_AUX,0.0
dep_dist_nsubj,0.0
subj_post,0.0
verb_edges_dist_4,0.0
dep_dist_nmod:desc,0.0
verbs_form_dist_Inf,0.0
obj_pre,0.0
subordinate_dist_5,0.0
aux_form_dist_Ger,0.0
verbs_tense_dist_Pres,0.0
verbal_root_perc,0.0
ttr_lemma_chunks_100,0.0
prep_dist_2,0.0
dep_dist_cc,0.0
max_links_len,0.0
dep_dist_obl:tmod,0.0
n_sentences,0.0
dep_dist_aux,0.0
dep_dist_det:predet,0.0
dep_dist_dep,0.0
subordinate_dist_3,0.0
verbs_num_pers_dist_Sing+1,0.0
dep_dist_nmod:tmod,0.0
upos_dist_PUNCT,0.0
dep_dist_vocative,0.0
dep_dist_iobj,0.0
subordinate_post,0.0
aux_num_pers_dist_Plur+2,0.0
avg_max_depth,0.0
verbs_num_pers_dist_Plur+2,0.0
avg_max_links_len,0.0
aux_tense_dist_Past,0.0
dep_dist_compound:prt,0.0
subordinate_dist_4,0.0
verbs_num_pers_dist_+,0.0
verb_edges_dist_3,0.0
n_tokens,0.0
subordinate_proposition_dist,0.0
aux_num_pers_dist_Sing+1,0.0
dep_dist_cop,0.0
upos_dist_VERB,0.0
dep_dist_nsubj:pass,0.0
dep_dist_obl:npmod,0.0
aux_mood_dist_Ind,0.0
subordinate_pre,0.0
ttr_lemma_chunks_200,0.0
dep_dist_conj,0.0
avg_token_per_clause,0.0
dep_dist_obl,0.0
dep_dist_list,0.0
principal_proposition_dist,0.0
verbs_num_pers_dist_+2,0.0
upos_dist_CCONJ,0.0
verbal_head_per_sent,0.0
verbs_mood_dist_Imp,0.0
verbs_num_pers_dist_Sing+3,0.0
dep_dist_<PAD>,0.0
verbs_num_pers_dist_Plur+3,0.0
dep_dist_nsubj:outer,0.0
avg_subordinate_chain_len,0.0
avg_verb_edges,0.0
verbs_num_pers_dist_Plur+,0.0
lexical_density,0.0
dep_dist_dislocated,0.0
dep_dist_amod,0.0
dep_dist_acl:relcl,0.0
prep_dist_5,0.0
verbs_num_pers_dist_Sing+2,0.0
prep_dist_1,0.0
verbs_num_pers_dist_Sing+,0.0
dep_dist_aux:pass,0.0
upos_dist_NOUN,0.0
upos_dist_ADP,0.0
dep_dist_advcl,0.0
aux_tense_dist_Pres,0.0
dep_dist_advcl:relcl,0.0
avg_prepositional_chain_len,0.0
aux_form_dist_Fin,0.0
aux_num_pers_dist_Sing+,0.0
aux_form_dist_Part,0.0
aux_num_pers_dist_Plur+3,0.0
verbs_mood_dist_Ind,0.0
aux_num_pers_dist_Plur+,0.0
n_prepositional_chains,0.0
dep_dist_acl,0.0
aux_num_pers_dist_+,0.0
dep_dist_cc:preconj,0.0
verbs_num_pers_dist_Plur+1,0.0
dep_dist_punct,0.0
dep_dist_csubj,0.0
dep_dist_case,0.0
aux_num_pers_dist_Plur+1,0.0
aux_num_pers_dist_Sing+2,0.0
dep_dist_nummod,0.0
dep_dist_obj,0.0
dep_dist_advmod,0.0
aux_num_pers_dist_+2,0.0
dep_dist_reparandum,0.0
verb_edges_dist_1,0.0
upos_dist_SCONJ,0.0
dep_dist_obl:agent,0.0
dep_dist_nmod,0.0
dep_dist_parataxis,0.0
aux_num_pers_dist_Sing+3,0.0
upos_dist_NUM,0.0
